Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,500,6,20,20,22.10764
0.001,500,6,20,30,22.10764
0.001,500,6,20,100,22.10764
0.001,500,10,1,5,22.310560000000002
0.001,500,10,1,10,21.907159999999998
0.001,500,10,1,20,21.906280000000002
0.001,500,10,1,30,21.906280000000002
0.001,500,10,1,100,21.906280000000002
0.001,500,10,5,5,22.3123
0.001,500,10,5,10,21.90124
0.001,500,10,5,20,21.90144
0.001,500,10,5,30,21.90144
0.001,500,10,5,100,21.90144
0.001,500,10,10,5,22.32172
0.001,500,10,10,10,21.9324
0.001,500,10,10,20,21.9324
0.001,500,10,10,30,21.9324
0.001,500,10,10,100,21.9324
0.001,500,10,20,5,22.33546
0.001,500,10,20,10,22.10764
0.001,500,10,20,20,22.10764
0.001,500,10,20,30,22.10764
0.001,500,10,20,100,22.10764
0.001,500,20,1,5,22.312739999999998
0.001,500,20,1,10,21.89896
0.001,500,20,1,20,21.89896
0.001,500,20,1,30,21.89896
0.001,500,20,1,100,21.89896
0.001,500,20,5,5,22.314299999999996
0.001,500,20,5,10,21.90276
0.001,500,20,5,20,21.90276
0.001,500,20,5,30,21.90276
0.001,500,20,5,100,21.90276
0.001,500,20,10,5,22.32172
0.001,500,20,10,10,21.9324
0.001,500,20,10,20,21.9324
0.001,500,20,10,30,21.9324
0.001,500,20,10,100,21.9324
0.001,500,20,20,5,22.33546
0.001,500,20,20,10,22.10764
0.001,500,20,20,20,22.10764
0.001,500,20,20,30,22.10764
0.001,500,20,20,100,22.10764
0.001,500,40,1,5,22.33312
0.001,500,40,1,10,22.09882
0.001,500,40,1,20,22.09882
0.001,500,40,1,30,22.09882
0.001,500,40,1,100,22.09882
0.001,500,40,5,5,22.33312
0.001,500,40,5,10,22.09882
0.001,500,40,5,20,22.09882
0.001,500,40,5,30,22.09882
0.001,500,40,5,100,22.09882
0.001,500,40,10,5,22.33572
0.001,500,40,10,10,22.10144
0.001,500,40,10,20,22.10144
0.001,500,40,10,30,22.10144
0.001,500,40,10,100,22.10144
0.001,500,40,20,5,22.33546
