n_neighbors,weights,algorithm,leaf_size,p,MMRE-
9,distance,brute,50,2,7.211499999999999
9,distance,brute,100,1,6.986080000000001
9,distance,brute,100,2,7.211499999999999
10,uniform,auto,10,1,8.97428
10,uniform,auto,10,2,9.2756
10,uniform,auto,20,1,8.97432
10,uniform,auto,20,2,9.27558
10,uniform,auto,30,1,8.97432
10,uniform,auto,30,2,9.27558
10,uniform,auto,40,1,8.97428
10,uniform,auto,40,2,9.2756
10,uniform,auto,50,1,8.97428
10,uniform,auto,50,2,9.2756
10,uniform,auto,100,1,8.974300000000001
10,uniform,auto,100,2,9.2756
10,uniform,ball_tree,10,1,8.97428
10,uniform,ball_tree,10,2,9.2756
10,uniform,ball_tree,20,1,8.974300000000001
10,uniform,ball_tree,20,2,9.27558
10,uniform,ball_tree,30,1,8.974300000000001
10,uniform,ball_tree,30,2,9.27558
10,uniform,ball_tree,40,1,8.974300000000001
10,uniform,ball_tree,40,2,9.2756
10,uniform,ball_tree,50,1,8.974300000000001
10,uniform,ball_tree,50,2,9.2756
10,uniform,ball_tree,100,1,8.974300000000001
10,uniform,ball_tree,100,2,9.2756
10,uniform,kd_tree,10,1,8.97428
10,uniform,kd_tree,10,2,9.2756
10,uniform,kd_tree,20,1,8.97432
10,uniform,kd_tree,20,2,9.27558
10,uniform,kd_tree,30,1,8.97432
10,uniform,kd_tree,30,2,9.27558
10,uniform,kd_tree,40,1,8.97428
10,uniform,kd_tree,40,2,9.2756
10,uniform,kd_tree,50,1,8.97428
10,uniform,kd_tree,50,2,9.2756
10,uniform,kd_tree,100,1,8.974300000000001
10,uniform,kd_tree,100,2,9.2756
10,uniform,brute,10,1,8.974300000000001
10,uniform,brute,10,2,9.27558
10,uniform,brute,20,1,8.974300000000001
10,uniform,brute,20,2,9.27558
10,uniform,brute,30,1,8.974300000000001
10,uniform,brute,30,2,9.27558
10,uniform,brute,40,1,8.974300000000001
10,uniform,brute,40,2,9.27558
10,uniform,brute,50,1,8.974300000000001
10,uniform,brute,50,2,9.27558
10,uniform,brute,100,1,8.974300000000001
10,uniform,brute,100,2,9.27558
10,distance,auto,10,1,6.950999999999999
10,distance,auto,10,2,7.2099400000000005
10,distance,auto,20,1,6.950999999999999
10,distance,auto,20,2,7.2099400000000005
10,distance,auto,30,1,6.950999999999999
10,distance,auto,30,2,7.2099400000000005
10,distance,auto,40,1,6.9509799999999995
10,distance,auto,40,2,7.2099400000000005
10,distance,auto,50,1,6.9509799999999995
10,distance,auto,50,2,7.2099400000000005
10,distance,auto,100,1,6.9509799999999995
10,distance,auto,100,2,7.2099400000000005
10,distance,ball_tree,10,1,6.950999999999999
10,distance,ball_tree,10,2,7.2099400000000005
10,distance,ball_tree,20,1,6.9509799999999995
10,distance,ball_tree,20,2,7.2099400000000005
10,distance,ball_tree,30,1,6.9509799999999995
10,distance,ball_tree,30,2,7.2099400000000005
10,distance,ball_tree,40,1,6.9509799999999995
10,distance,ball_tree,40,2,7.2099400000000005
10,distance,ball_tree,50,1,6.9509799999999995
10,distance,ball_tree,50,2,7.2099400000000005
10,distance,ball_tree,100,1,6.9509799999999995
10,distance,ball_tree,100,2,7.2099400000000005
10,distance,kd_tree,10,1,6.950999999999999
10,distance,kd_tree,10,2,7.2099400000000005
10,distance,kd_tree,20,1,6.950999999999999
10,distance,kd_tree,20,2,7.2099400000000005
10,distance,kd_tree,30,1,6.950999999999999
10,distance,kd_tree,30,2,7.2099400000000005
10,distance,kd_tree,40,1,6.9509799999999995
10,distance,kd_tree,40,2,7.2099400000000005
10,distance,kd_tree,50,1,6.9509799999999995
10,distance,kd_tree,50,2,7.2099400000000005
10,distance,kd_tree,100,1,6.9509799999999995
10,distance,kd_tree,100,2,7.2099400000000005
10,distance,brute,10,1,6.950999999999999
10,distance,brute,10,2,7.209919999999999
10,distance,brute,20,1,6.950999999999999
10,distance,brute,20,2,7.209919999999999
10,distance,brute,30,1,6.950999999999999
10,distance,brute,30,2,7.209919999999999
10,distance,brute,40,1,6.950999999999999
10,distance,brute,40,2,7.209919999999999
10,distance,brute,50,1,6.950999999999999
10,distance,brute,50,2,7.209919999999999
10,distance,brute,100,1,6.950999999999999
10,distance,brute,100,2,7.209919999999999
13,uniform,auto,10,1,9.00306
13,uniform,auto,10,2,9.282279999999998
13,uniform,auto,20,1,9.00306
13,uniform,auto,20,2,9.282279999999998
