N_estimators,criterion,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,Error-
10,squared_error,10,20,5,None,0.1,0.06
10,squared_error,10,20,5,None,0.2,0.05800000000000001
10,squared_error,10,20,5,None,0.3,0.055999999999999994
10,squared_error,10,20,5,sqrt,0.0,0.12
10,squared_error,10,20,5,sqrt,0.1,0.11399999999999999
10,squared_error,10,20,5,sqrt,0.2,0.10800000000000001
10,squared_error,10,20,5,sqrt,0.3,0.1
10,squared_error,10,20,5,log2,0.0,0.118
10,squared_error,10,20,5,log2,0.1,0.10999999999999999
10,squared_error,10,20,5,log2,0.2,0.11600000000000002
10,squared_error,10,20,5,log2,0.3,0.11599999999999999
10,squared_error,10,20,10,None,0.0,0.07
10,squared_error,10,20,10,None,0.1,0.07400000000000001
10,squared_error,10,20,10,None,0.2,0.07200000000000001
10,squared_error,10,20,10,None,0.3,0.07
10,squared_error,10,20,10,sqrt,0.0,0.11000000000000001
10,squared_error,10,20,10,sqrt,0.1,0.118
10,squared_error,10,20,10,sqrt,0.2,0.128
10,squared_error,10,20,10,sqrt,0.3,0.11600000000000002
10,squared_error,10,20,10,log2,0.0,0.136
10,squared_error,10,20,10,log2,0.1,0.122
10,squared_error,10,20,10,log2,0.2,0.132
10,squared_error,10,20,10,log2,0.3,0.134
10,squared_error,10,20,20,None,0.0,0.15
10,squared_error,10,20,20,None,0.1,0.14600000000000002
10,squared_error,10,20,20,None,0.2,0.156
10,squared_error,10,20,20,None,0.3,0.152
10,squared_error,10,20,20,sqrt,0.0,0.158
10,squared_error,10,20,20,sqrt,0.1,0.16399999999999998
10,squared_error,10,20,20,sqrt,0.2,0.15000000000000002
10,squared_error,10,20,20,sqrt,0.3,0.148
10,squared_error,10,20,20,log2,0.0,0.182
10,squared_error,10,20,20,log2,0.1,0.158
10,squared_error,10,20,20,log2,0.2,0.16
10,squared_error,10,20,20,log2,0.3,0.15000000000000002
10,squared_error,10,40,1,None,0.0,0.13
10,squared_error,10,40,1,None,0.1,0.124
10,squared_error,10,40,1,None,0.2,0.136
10,squared_error,10,40,1,None,0.3,0.128
10,squared_error,10,40,1,sqrt,0.0,0.152
10,squared_error,10,40,1,sqrt,0.1,0.13799999999999998
10,squared_error,10,40,1,sqrt,0.2,0.154
10,squared_error,10,40,1,sqrt,0.3,0.138
10,squared_error,10,40,1,log2,0.0,0.14
10,squared_error,10,40,1,log2,0.1,0.14400000000000002
10,squared_error,10,40,1,log2,0.2,0.14800000000000002
10,squared_error,10,40,1,log2,0.3,0.14200000000000002
10,squared_error,10,40,5,None,0.0,0.134
10,squared_error,10,40,5,None,0.1,0.132
10,squared_error,10,40,5,None,0.2,0.128
10,squared_error,10,40,5,None,0.3,0.13
10,squared_error,10,40,5,sqrt,0.0,0.15
10,squared_error,10,40,5,sqrt,0.1,0.14600000000000002
10,squared_error,10,40,5,sqrt,0.2,0.14600000000000002
10,squared_error,10,40,5,sqrt,0.3,0.138
10,squared_error,10,40,5,log2,0.0,0.152
10,squared_error,10,40,5,log2,0.1,0.15400000000000003
10,squared_error,10,40,5,log2,0.2,0.15000000000000002
10,squared_error,10,40,5,log2,0.3,0.146
10,squared_error,10,40,10,None,0.0,0.126
10,squared_error,10,40,10,None,0.1,0.122
10,squared_error,10,40,10,None,0.2,0.128
10,squared_error,10,40,10,None,0.3,0.128
10,squared_error,10,40,10,sqrt,0.0,0.14600000000000002
10,squared_error,10,40,10,sqrt,0.1,0.162
10,squared_error,10,40,10,sqrt,0.2,0.14200000000000002
10,squared_error,10,40,10,sqrt,0.3,0.14400000000000002
10,squared_error,10,40,10,log2,0.0,0.154
